Time,NodeId,NodeType,Throughput_Mbps,Latency_ms,PacketLoss_Rate,Jitter_ms,SignalStrength_dBm,CPU_Usage,Memory_Usage,Buffer_Occupancy,Active_Links,Neighbor_Count,Link_Utilization,Critical_Load,Normal_Load,Energy_Level,X_Position,Y_Position,Z_Position,Operational_Status,Voltage_Level,Power_Stability,Degradation_Level,Fault_Severity,Time_Of_Day_Factor,Traffic_Pattern_Factor,Seasonal_Factor
5.000,0,core,427.710,15.599,0.002,1.100,-76.000,43.205,49.000,21.000,4,4,33.600,17.000,50.000,99.833,0.000,0.000,0.000,1,225.100,0.953,0.000,0.000,0.600,0.800,1.000
5.000,1,core,397.203,15.076,0.001,4.100,-87.000,35.404,62.000,70.000,4,4,33.600,23.000,67.000,99.833,50.000,0.000,0.000,1,225.700,0.951,0.000,0.000,0.600,0.800,1.000
5.000,2,core,342.099,19.073,0.002,2.300,-61.000,43.205,69.000,53.000,4,4,40.800,39.000,64.000,99.833,-50.000,0.000,0.000,1,216.900,0.953,0.000,0.000,0.600,0.800,1.000
5.000,3,core,381.469,7.238,0.001,0.500,-86.000,31.804,62.000,70.000,4,4,60.800,11.000,65.000,99.833,0.000,50.000,0.000,1,216.200,0.951,0.000,0.000,0.600,0.800,1.000
5.000,4,core,406.950,13.901,0.002,3.000,-84.000,45.005,62.000,65.000,4,4,35.200,37.000,74.000,99.833,0.000,-50.000,0.000,1,218.500,0.953,0.000,0.000,0.600,0.800,1.000
5.000,5,distribution,22.969,31.844,0.011,6.300,-63.000,18.602,74.000,39.000,3,3,49.600,10.000,76.000,99.833,100.000,0.000,0.000,1,227.700,0.958,0.000,0.000,0.600,0.800,1.000
5.000,6,distribution,33.015,29.457,0.009,2.100,-74.000,34.804,67.000,41.000,3,3,61.600,12.000,77.000,99.833,91.355,40.674,0.000,1,229.100,0.955,0.000,0.000,0.600,0.800,1.000
5.000,7,distribution,29.899,21.650,0.011,5.500,-64.000,29.404,40.000,29.000,3,3,48.800,17.000,57.000,99.833,66.913,74.314,0.000,1,211.000,0.955,0.000,0.000,0.600,0.800,1.000
5.000,8,distribution,33.820,30.244,0.012,5.200,-66.000,27.003,66.000,43.000,3,3,39.200,24.000,48.000,99.833,30.902,95.106,0.000,1,226.400,0.957,0.000,0.000,0.600,0.800,1.000
5.000,9,distribution,30.274,46.217,0.005,3.400,-70.000,47.406,76.000,43.000,3,3,38.400,35.000,46.000,99.833,-10.453,99.452,0.000,1,218.000,0.958,0.000,0.000,0.600,0.800,1.000
5.000,10,distribution,28.494,31.973,0.009,2.300,-73.000,18.002,74.000,24.000,3,3,43.200,14.000,67.000,99.833,-50.000,86.603,0.000,1,217.600,0.951,0.000,0.000,0.600,0.800,1.000
5.000,11,distribution,33.612,27.411,0.014,3.000,-77.000,34.804,75.000,67.000,3,3,43.200,11.000,58.000,99.833,-80.902,58.779,0.000,1,226.200,0.952,0.000,0.000,0.600,0.800,1.000
5.000,12,distribution,35.573,37.473,0.013,3.800,-78.000,35.404,56.000,24.000,3,3,58.400,23.000,53.000,99.833,-97.815,20.791,0.000,1,217.500,0.953,0.000,0.000,0.600,0.800,1.000
5.000,13,distribution,32.229,47.214,0.013,5.300,-77.000,45.606,44.000,23.000,3,3,40.000,33.000,50.000,99.833,-97.815,-20.791,0.000,1,218.000,0.959,0.000,0.000,0.600,0.800,1.000
