Time,NodeId,NodeType,Throughput_Mbps,Latency_ms,PacketLoss_Rate,Jitter_ms,SignalStrength_dBm,CPU_Usage,Memory_Usage,Buffer_Occupancy,Active_Links,Neighbor_Count,Link_Utilization,Critical_Load,Normal_Load,Energy_Level,X_Position,Y_Position,Z_Position,Operational_Status,Voltage_Level,Power_Stability,Degradation_Level,Fault_Severity,Time_Of_Day_Factor,Traffic_Pattern_Factor,Seasonal_Factor
2.000,0,core,353.162,9.829,0.001,2.700,-75.000,46.202,51.000,76.000,4,4,39.200,38.000,61.000,99.867,0.000,0.000,0.000,1,224.800,0.951,0.000,0.000,0.600,0.800,1.000
2.000,1,core,373.822,19.639,0.002,1.400,-84.000,22.801,54.000,78.000,4,4,56.800,16.000,58.000,99.867,100.000,0.000,0.000,1,215.600,0.957,0.000,0.000,0.600,0.800,1.000
2.000,2,core,411.379,19.364,0.002,5.400,-79.000,41.402,40.000,78.000,4,4,31.200,13.000,41.000,99.867,-100.000,0.000,0.000,1,220.400,0.956,0.000,0.000,0.600,0.800,1.000
2.000,3,core,349.892,16.800,0.002,2.200,-62.000,31.202,41.000,35.000,4,4,24.000,29.000,70.000,99.867,0.000,100.000,0.000,1,212.600,0.957,0.000,0.000,0.600,0.800,1.000
2.000,4,core,333.701,16.027,0.001,4.200,-80.000,37.802,62.000,61.000,4,4,53.600,15.000,56.000,99.867,0.000,-100.000,0.000,1,210.700,0.951,0.000,0.000,0.600,0.800,1.000
2.000,5,distribution,26.134,37.600,0.012,3.600,-76.000,27.001,57.000,28.000,3,3,60.000,29.000,42.000,99.867,150.000,0.000,0.000,1,222.100,0.954,0.000,0.000,0.600,0.800,1.000
2.000,6,distribution,36.801,46.367,0.014,5.200,-81.000,27.601,43.000,60.000,3,3,49.600,31.000,45.000,99.867,137.032,61.010,0.000,1,216.500,0.952,0.000,0.000,0.600,0.800,1.000
2.000,7,distribution,33.938,24.393,0.009,1.800,-72.000,33.002,48.000,39.000,3,3,44.000,10.000,56.000,99.867,100.370,111.472,0.000,1,225.800,0.956,0.000,0.000,0.600,0.800,1.000
2.000,8,distribution,26.595,33.262,0.007,2.300,-88.000,33.002,55.000,30.000,3,3,53.600,33.000,48.000,99.867,46.353,142.658,0.000,1,210.500,0.950,0.000,0.000,0.600,0.800,1.000
2.000,9,distribution,26.267,46.725,0.012,4.200,-81.000,47.402,70.000,68.000,3,3,55.200,18.000,48.000,99.867,-15.679,149.178,0.000,1,216.200,0.959,0.000,0.000,0.600,0.800,1.000
2.000,10,distribution,23.641,44.180,0.014,5.100,-87.000,47.402,57.000,66.000,3,3,25.600,17.000,41.000,99.867,-75.000,129.904,0.000,1,222.300,0.951,0.000,0.000,0.600,0.800,1.000
2.000,11,distribution,31.397,43.007,0.011,6.000,-74.000,34.802,68.000,73.000,3,3,46.400,37.000,75.000,99.867,-121.353,88.168,0.000,1,215.000,0.956,0.000,0.000,0.600,0.800,1.000
2.000,12,distribution,19.374,28.979,0.012,4.000,-72.000,30.601,53.000,54.000,3,3,55.200,14.000,61.000,99.867,-146.722,31.187,0.000,1,213.200,0.952,0.000,0.000,0.600,0.800,1.000
2.000,13,distribution,36.339,21.616,0.007,2.600,-72.000,18.001,62.000,22.000,3,3,63.200,37.000,74.000,99.867,-146.722,-31.187,0.000,1,222.100,0.951,0.000,0.000,0.600,0.800,1.000
2.000,14,distribution,24.628,27.663,0.005,3.900,-77.000,40.202,59.000,48.000,3,3,40.800,30.000,67.000,99.867,-121.353,-88.168,0.000,1,212.600,0.951,0.000,0.000,0.600,0.800,1.000
2.000,15,distribution,24.409,38.328,0.010,4.700,-71.000,37.802,71.000,52.000,3,3,24.000,36.000,78.000,99.867,-75.000,-129.904,0.000,1,221.400,0.959,0.000,0.000,0.600,0.800,1.000
2.000,16,distribution,34.907,40.559,0.009,3.900,-62.000,40.802,49.000,36.000,3,3,40.000,36.000,44.000,99.867,-15.679,-149.178,0.000,1,224.900,0.959,0.000,0.000,0.600,0.800,1.000
2.000,17,distribution,29.922,39.828,0.011,6.900,-79.000,39.002,72.000,21.000,3,3,58.400,10.000,49.000,99.867,46.353,-142.658,0.000,1,215.800,0.953,0.000,0.000,0.600,0.800,1.000
2.000,18,distribution,30.906,42.419,0.013,6.000,-83.000,46.802,69.000,55.000,3,3,28.000,23.000,68.000,99.867,100.370,-111.472,0.000,1,224.800,0.957,0.000,0.000,0.600,0.800,1.000
2.000,19,distribution,30.363,30.134,0.006,2.100,-75.000,36.602,41.000,70.000,3,3,42.400,20.000,60.000,99.867,137.032,-61.010,0.000,1,227.900,0.957,0.000,0.000,0.600,0.800,1.000
2.000,20,access,15.253,65.443,0.029,8.900,-69.000,40.802,71.000,56.000,1,1,50.400,39.000,53.000,99.867,-150.000,-150.000,0.000,1,229.100,0.959,0.000,0.000,0.600,0.800,1.000
2.000,21,access,5.053,33.879,0.016,4.500,-62.000,35.402,62.000,28.000,1,1,48.800,12.000,54.000,99.867,-90.000,-150.000,0.000,1,221.100,0.957,0.000,0.000,0.600,0.800,1.000
2.000,22,access,15.888,50.556,0.017,5.700,-82.000,33.002,53.000,77.000,1,1,60.800,28.000,61.000,99.867,-30.000,-150.000,0.000,1,221.900,0.953,0.000,0.000,0.600,0.800,1.000
2.000,23,access,4.944,73.531,0.015,5.300,-69.000,23.401,58.000,60.000,1,1,33.600,14.000,79.000,99.867,30.000,-150.000,0.000,1,217.700,0.955,0.000,0.000,0.600,0.800,1.000
2.000,24,access,9.312,40.109,0.016,3.000,-68.000,31.802,58.000,57.000,1,1,58.400,31.000,70.000,99.867,90.000,-150.000,0.000,1,212.500,0.959,0.000,0.000,0.600,0.800,1.000
2.000,25,access,16.443,43.573,0.028,5.100,-69.000,30.601,60.000,23.000,1,1,60.000,29.000,64.000,99.867,150.000,-150.000,0.000,1,220.100,0.951,0.000,0.000,0.600,0.800,1.000
