Time,NodeId,NodeType,Throughput_Mbps,Latency_ms,PacketLoss_Rate,Jitter_ms,SignalStrength_dBm,CPU_Usage,Memory_Usage,Buffer_Occupancy,Active_Links,Neighbor_Count,Link_Utilization,Critical_Load,Normal_Load,Energy_Level,X_Position,Y_Position,Z_Position,Operational_Status,Voltage_Level,Power_Stability,Degradation_Level,Fault_Severity
10.000,0,core,883.000,11.000,0.002,1.100,-76.000,72.000,49.000,21.000,4,4,42.000,17.000,50.000,99.667,0.000,0.000,0.000,1,225.000,0.953,0.000,0.000
10.000,1,core,759.000,8.000,0.002,2.800,-76.000,41.000,48.000,47.000,4,4,59.000,12.000,50.000,99.667,50.000,0.000,0.000,1,210.000,0.956,0.000,0.000
10.000,2,core,762.000,8.000,0.002,2.800,-72.000,38.000,69.000,47.000,4,4,73.000,26.000,51.000,99.667,-50.000,0.000,0.000,1,225.000,0.959,0.000,0.000
10.000,3,core,742.000,14.000,0.001,5.400,-67.000,78.000,44.000,55.000,4,4,50.000,33.000,46.000,99.667,0.000,50.000,0.000,1,211.000,0.959,0.000,0.000
10.000,4,core,791.000,5.000,0.002,0.500,-76.000,61.000,65.000,65.000,4,4,64.000,37.000,56.000,99.667,0.000,-50.000,0.000,1,223.000,0.952,0.000,0.000
10.000,5,distribution,65.000,21.000,0.014,6.100,-75.000,62.000,65.000,34.000,3,3,47.000,24.000,44.000,99.667,25.000,0.000,0.000,1,223.000,0.957,0.000,0.000
10.000,6,distribution,43.000,25.000,0.012,5.500,-68.000,64.000,43.000,31.000,3,3,34.000,29.000,52.000,99.667,22.839,10.168,0.000,1,218.000,0.956,0.000,0.000
10.000,7,distribution,60.000,31.000,0.013,4.100,-66.000,74.000,59.000,35.000,3,3,50.000,24.000,58.000,99.667,16.728,18.579,0.000,1,229.000,0.952,0.000,0.000
10.000,8,distribution,67.000,16.000,0.012,3.600,-82.000,36.000,61.000,40.000,3,3,66.000,11.000,65.000,99.667,7.725,23.776,0.000,1,212.000,0.957,0.000,0.000
10.000,9,distribution,49.000,19.000,0.014,2.900,-67.000,77.000,51.000,41.000,3,3,55.000,19.000,47.000,99.667,-2.613,24.863,0.000,1,210.000,0.959,0.000,0.000
10.000,10,distribution,47.000,31.000,0.012,3.100,-76.000,63.000,59.000,64.000,3,3,58.000,31.000,52.000,99.667,-12.500,21.651,0.000,1,223.000,0.956,0.000,0.000
10.000,11,distribution,69.000,18.000,0.014,4.800,-65.000,70.000,69.000,56.000,3,3,53.000,18.000,45.000,99.667,-20.225,14.695,0.000,1,220.000,0.958,0.000,0.000
10.000,12,distribution,46.000,26.000,0.006,5.600,-74.000,58.000,41.000,70.000,3,3,73.000,20.000,74.000,99.667,-24.454,5.198,0.000,1,225.000,0.959,0.000,0.000
10.000,13,distribution,44.000,19.000,0.009,4.900,-81.000,57.000,45.000,59.000,3,3,66.000,32.000,71.000,99.667,-24.454,-5.198,0.000,1,217.000,0.956,0.000,0.000
10.000,14,distribution,77.000,23.000,0.010,3.300,-68.000,75.000,69.000,57.000,3,3,65.000,23.000,58.000,99.667,-20.225,-14.695,0.000,1,217.000,0.954,0.000,0.000
10.000,15,distribution,68.000,18.000,0.006,2.800,-64.000,73.000,43.000,73.000,3,3,68.000,36.000,40.000,99.667,-12.500,-21.651,0.000,1,218.000,0.959,0.000,0.000
10.000,16,distribution,64.000,33.000,0.013,5.300,-77.000,76.000,44.000,23.000,3,3,50.000,33.000,50.000,99.667,-2.613,-24.863,0.000,1,218.000,0.959,0.000,0.000
10.000,17,distribution,59.000,27.000,0.010,2.700,-89.000,34.000,66.000,29.000,3,3,62.000,22.000,64.000,99.667,7.725,-23.776,0.000,1,214.000,0.950,0.000,0.000
10.000,18,distribution,77.000,22.000,0.010,3.200,-62.000,58.000,59.000,23.000,3,3,76.000,18.000,60.000,99.667,16.728,-18.579,0.000,1,214.000,0.958,0.000,0.000
10.000,19,distribution,62.000,26.000,0.005,3.600,-60.000,58.000,65.000,20.000,3,3,66.000,14.000,66.000,99.667,22.839,-10.168,0.000,1,215.000,0.951,0.000,0.000
10.000,20,access,22.000,50.000,0.018,8.000,-74.000,67.000,62.000,64.000,1,1,30.000,16.000,52.000,99.667,-0.043,-34.365,0.000,1,226.000,0.952,0.000,0.000
10.000,21,access,39.000,44.000,0.020,7.400,-71.000,61.000,50.000,33.000,1,1,74.000,20.000,43.000,99.667,69.939,27.469,0.000,1,218.000,0.951,0.000,0.000
10.000,22,access,29.000,51.000,0.029,8.100,-73.000,48.000,70.000,75.000,1,1,56.000,36.000,44.000,99.667,48.003,-12.872,0.000,1,226.000,0.959,0.000,0.000
10.000,23,access,10.000,30.000,0.014,4.000,-67.000,75.000,76.000,39.000,1,1,48.000,27.000,52.000,99.667,50.284,36.859,0.000,1,226.000,0.952,0.000,0.000
10.000,24,access,38.000,27.000,0.029,2.700,-72.000,67.000,46.000,41.000,1,1,43.000,22.000,41.000,99.667,-32.558,73.391,0.000,1,219.000,0.956,0.000,0.000
10.000,25,access,35.000,59.000,0.029,9.900,-61.000,70.000,67.000,25.000,1,1,58.000,27.000,70.000,99.667,-16.745,-59.145,0.000,1,211.000,0.954,0.000,0.000
10.000,26,access,34.000,53.000,0.010,9.300,-86.000,61.000,70.000,64.000,1,1,72.000,22.000,72.000,99.667,-65.730,16.011,0.000,1,214.000,0.952,0.000,0.000
10.000,27,access,30.000,45.000,0.015,4.500,-62.000,78.000,73.000,58.000,1,1,70.000,34.000,70.000,99.667,-37.397,56.216,0.000,1,212.000,0.959,0.000,0.000
10.000,28,access,39.000,36.000,0.029,3.600,-74.000,34.000,59.000,49.000,1,1,53.000,36.000,50.000,99.667,1.242,42.877,0.000,1,226.000,0.952,0.000,0.000
